ROI,Con,Inc
Visual,-0.48340625,0.35782123
Visual,0.23486139,0.34604967
Visual,1.3331307,1.6438085
Visual,-2.1210952,-1.5054363
Visual,0.9154283,0.7274726
Visual,0.6998737,0.94036496
Visual,-0.47003722,-0.80714726
Visual,0.68513834,0.6486117
Visual,0.16760018,0.00252267
Visual,2.2595034,2.2234552
Visual,-0.7832534,-0.73806083
Visual,1.1781087,1.3516737
Visual,1.9429657,2.3871088
Visual,0.51476264,-0.09208957
Visual,2.079956,1.8226343
Visual,3.613188,4.4893866
Visual,-1.8150939,-1.5527219
Visual,2.6988056,2.3217332
Visual,-0.5110225,0.9804624
Visual,0.88509816,0.87374294
Visual,1.5041523,0.5920659
Visual,0.019319104,0.769079
Visual,0.8201206,1.3110855
Visual,-0.80349445,-1.0787004
Visual,3.245207,3.5196323
Visual,0.5505274,1.1398135
Visual,-0.48575947,-0.39938816
Visual,-0.59149176,-0.9252219
Visual,0.06020869,0.11692911
Visual,0.9661115,1.065835
Visual,2.1150744,2.7449224
Visual,0.11625472,0.84559655
Visual,0.49954057,0.4419326
Visual,-0.8759693,-0.659587
Visual,2.5948083,3.0488906
Visual,8.614727,9.422417
Visual,0.4712553,1.1427556
Visual,-0.3419301,-0.107880205
Visual,-0.19425459,-0.07978125
Visual,-1.8099301,-1.8599623
Visual,1.2619393,2.3241782
Visual,0.27959988,0.22477134
Visual,-0.6558331,-0.6804495
Visual,-1.3034637,-1.4010212
Visual,0.80508006,0.9178038
Visual,0.96455723,0.919711
Visual,-0.022757152,0.54415065
Visual,0.04696617,0.04113109
Visual,1.5211353,1.9906365
Visual,1.1119934,1.165494
Visual,0.080036744,0.25830138
Visual,-0.3787262,-0.15847893
Visual,0.73193306,1.273412
Visual,1.133768,1.7007791
Visual,-0.46853876,-0.75755566
Visual,0.24728513,0.67539555
Visual,0.55287486,1.7191287
Visual,0.52286625,0.6711813
Visual,-2.2420962,-1.064414
Visual,-0.20918252,0.7786434
Visual,1.23635,1.7917924
Motor,3.088492,3.8313012
Motor,-0.29181993,0.27682167
Motor,-0.07052559,-0.12023048
Motor,-0.097284645,-0.1014013
Motor,0.57908165,0.7351634
Motor,-0.7465746,-0.34661007
Motor,-0.7006937,-0.782799
Motor,-0.10125831,0.29580298
Motor,-1.2274189,-1.0691442
Motor,-0.4145003,0.81196314
Motor,-0.2837404,-0.5082172
Motor,1.2760248,1.8133051
Motor,2.2490652,2.4175596
Motor,4.430431,4.567289
Motor,-1.6684783,-0.9773753
Motor,2.1582043,1.6510384
Motor,-0.59563774,-0.80836403
Motor,0.8095872,0.4640505
Motor,1.813343,2.280615
Motor,3.4860408,3.746332
Motor,0.5788137,0.71231073
Motor,-2.2677803,-2.2338388
Motor,-0.56981856,-0.17254785
Motor,1.7708143,1.928212
Motor,-0.6457588,0.3456498
Motor,-1.0755752,-1.3657335
Motor,0.53586084,1.2134253
Motor,0.9390567,0.9816493
Motor,1.458571,1.5280333
Motor,-0.42275316,-0.34574315
Motor,1.1971381,1.5213646
Motor,0.5035355,0.40482157
Motor,0.89457375,0.7784864
Motor,-0.18910965,-0.42955843
Motor,5.0591836,4.172835
Motor,-1.187067,-1.170749
Motor,-0.08140414,-0.34359258
Motor,1.6820911,1.4648905
Motor,-0.32890072,-0.66764927
Motor,0.71577036,0.57921064
Motor,2.8767824,2.3971484
Motor,7.0086884,6.703257
Motor,-0.4715359,-0.44640043
Motor,1.4542456,1.2080344
Motor,2.3706834,2.7199473
Motor,1.0554639,1.2196848
Motor,3.215971,2.9647634
Motor,-0.15175815,-0.42737865
Motor,0.6771715,0.68686414
Motor,1.3720053,1.0615078
Motor,-0.048097316,0.049256023
Motor,-1.2904207,-1.3244257
Motor,-1.0672343,-0.9900903
Motor,2.839149,2.817336
Motor,2.5268497,2.895387
Motor,-0.4178539,-0.5640038
Motor,2.4857483,2.3753114
Motor,1.9316598,1.7646618
Motor,-0.56988585,-0.48029724
Motor,2.3972282,1.3667352
Motor,1.4040645,1.2930074
Motor,1.0643024,1.1453868
Motor,-3.1960566,-5.184193
Motor,-0.64410347,-1.3091687
Motor,-4.015232,-3.6396823
Motor,2.1007888,1.8898783
Motor,5.1291037,4.5718117
Motor,-0.51513153,-0.35605118
Motor,-0.2948996,-0.27845246
Motor,3.288703,3.3865933
Motor,-0.6949461,-0.6047366
